frame_no,sequence,index,bytesused,buffer_length,flags_hex,flags_text,v4l2_ts_sec,v4l2_ts_usec,host_dq_ms,host_delta_ms,v4l2_delta_ms
252,251,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269159,984749,51738.865,200.601,200.014
253,252,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269160,200746,51955.110,216.245,215.997
254,253,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269160,420754,52174.416,219.306,220.008
255,254,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269160,620768,52374.967,200.551,200.014
256,255,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269160,824773,52578.609,203.642,204.005
257,256,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269161,24780,52779.116,200.508,200.007
258,257,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269161,228777,52982.773,203.656,203.997
259,258,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269161,432784,53186.436,203.663,204.007
260,259,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269161,632813,53386.434,199.998,200.029
261,260,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269161,848803,53603.161,216.728,215.990
262,261,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269162,68808,53822.516,219.355,220.005
263,262,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269162,268814,54023.089,200.573,200.006
264,263,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269162,472820,54226.700,203.612,204.006
265,264,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269162,672826,54427.250,200.549,200.006
266,265,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269162,876831,54630.876,203.626,204.005
267,266,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269163,92835,54847.096,216.220,216.004
268,267,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269163,312837,55066.411,219.315,220.002
269,268,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269163,512844,55266.960,200.550,200.007
270,269,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269163,716871,55470.613,203.653,204.027
271,270,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269163,916873,55671.129,200.516,200.002
272,271,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269164,120861,55874.842,203.713,203.988
273,272,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269164,336874,56091.059,216.217,216.013
274,273,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269164,552880,56307.203,216.144,216.006
275,274,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269164,756885,56510.860,203.657,204.005
276,275,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269164,960884,56714.418,203.558,203.999
277,276,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269165,176897,56930.628,216.211,216.013
278,277,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269165,392904,57146.817,216.189,216.007
279,278,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269165,596909,57350.555,203.737,204.005
280,279,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269165,796921,57551.057,200.502,200.012
281,280,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269166,915,57754.830,203.772,203.994
282,281,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269166,200930,57955.315,200.485,200.015
283,282,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269166,404933,58158.974,203.659,204.003
284,283,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269166,608933,58362.657,203.683,204.000
285,284,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269166,824946,58578.760,216.103,216.013
286,285,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269167,40952,58795.055,216.295,216.006
287,286,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269167,244957,58998.721,203.666,204.005
288,287,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269167,444958,59199.209,200.488,200.001
289,288,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269167,648976,59402.453,203.244,204.018
290,289,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269167,852973,59606.557,204.104,203.997
291,290,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269168,52980,59807.078,200.521,200.007
292,291,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269168,256985,60010.733,203.655,204.005
293,292,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269168,456987,60211.307,200.574,200.002
294,293,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269168,660998,60414.950,203.643,204.011
295,294,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269168,865002,60618.600,203.651,204.004
296,295,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269169,65010,60819.117,200.517,200.008
297,296,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269169,269015,61022.778,203.660,204.005
298,297,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269169,469022,61223.289,200.512,200.007
299,298,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269169,689025,61442.645,219.355,220.003
300,299,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269169,905034,61658.828,216.184,216.009
