case,run_id,cmd_status,real_sec,user_sec,sys_sec,cpu_pct,maxrss_kb,decoder,hw_type,hw_frames,wrapper_frames,sw_fallback_frames,fallback,verdict
sw_baseline_h264,1,0,0.665,0.619,0.047,N/A,N/A,h264,(not-forced),0,0,60,1,SOFTWARE_FALLBACK
rkmpp_wrapper_default,1,0,0.349,0.184,0.106,N/A,N/A,h264_rkmpp,(not-forced),0,60,0,0,HARDWARE_DECODE_WRAPPER_OUTPUT
sw_baseline_h264,2,0,0.641,0.620,0.021,N/A,N/A,h264,(not-forced),0,0,60,1,SOFTWARE_FALLBACK
rkmpp_wrapper_default,2,0,0.346,0.172,0.107,N/A,N/A,h264_rkmpp,(not-forced),0,60,0,0,HARDWARE_DECODE_WRAPPER_OUTPUT
sw_baseline_h264,3,0,0.634,0.592,0.040,N/A,N/A,h264,(not-forced),0,0,60,1,SOFTWARE_FALLBACK
rkmpp_wrapper_default,3,0,0.353,0.193,0.098,N/A,N/A,h264_rkmpp,(not-forced),0,60,0,0,HARDWARE_DECODE_WRAPPER_OUTPUT
