h264	1	3.07	3.03	0.04	SOFTWARE_FALLBACK
h264	2	3.14	3.09	0.05	SOFTWARE_FALLBACK
h264	3	3.04	2.99	0.04	SOFTWARE_FALLBACK
h264_rkmpp	1	1.59	0.25	0.48	HARDWARE_DECODE_WRAPPER_OUTPUT
h264_rkmpp	2	1.72	0.28	0.54	HARDWARE_DECODE_WRAPPER_OUTPUT
h264_rkmpp	3	1.67	0.31	0.49	HARDWARE_DECODE_WRAPPER_OUTPUT
